district,Dose_1,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,24-02-2021,25-02-2021,26-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021,Dose_2,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,24-02-2021,25-02-2021,26-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021,25-05-2021,26-05-2021,27-05-2021,28-05-2021,29-05-2021,30-05-2021,31-05-2021,01-06-2021,02-06-2021,03-06-2021,04-06-2021,05-06-2021,06-06-2021,07-06-2021,08-06-2021,09-06-2021,10-06-2021,11-06-2021,12-06-2021,13-06-2021,14-06-2021,15-06-2021,16-06-2021,17-06-2021,18-06-2021,19-06-2021,20-06-2021,21-06-2021,22-06-2021,23-06-2021,24-06-2021,25-06-2021,26-06-2021,27-06-2021,28-06-2021,29-06-2021,30-06-2021,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,02-08-2021,03-08-2021,04-08-2021,05-08-2021,06-08-2021,07-08-2021,08-08-2021,09-08-2021,10-08-2021,11-08-2021,12-08-2021,13-08-2021,14-08-2021,15-08-2021,16-08-2021,17-08-2021,18-08-2021,19-08-2021,20-08-2021,21-08-2021,22-08-2021,23-08-2021,24-08-2021,25-08-2021,26-08-2021,27-08-2021,28-08-2021,29-08-2021,30-08-2021,31-08-2021,01-09-2021,02-09-2021
Bagalakote, ,112,738,689,251,1120,0,0,615,0,343,226,512,365,0,0,225,627,684,0,595,279,234,8418,8738,10171,8881,8906,8929,9041,9598,9700,10093,10469,10915,12286,12952,13886,13658,14057,14289,14521,14671,14941,14941,15317,15654,16095,16125,16755,16793,16793,18697,23684,28548,35498,44827,52838,60389,64258,72317,79883,86275,94872,97252,100204,101950,104172,107939,111905,121073,130628,137543,141741,149154,151861,163763,170871,176202,181271,183133,184936,185543,187926,189025,190360,195134,196485,197653,201333,202986,212613,214938,218039,219960,221637,223439,224546,225739,226408,226741,226888,227455,228784,231742,232473,232889,232983,233786,237513,237832,238254,238705,239739,241802,243516,244692,256940,260723,261846,265360,267502,270427,273911,278031,281738,284109,287744,291725,294448,297498,300520,304415,307121,309462,315334,322490,326354,332390,337053,340601,344824,350684,354468,357509,359270,365513,367695,377262,397496,404093,408420,415272,417219,418629,426312,436513,442706,448730,457378,464252,468553,475476,482310,485995,491162,497216,502999,504869,513929,513929,526465,526465,533332,535760,537086,542073,546836,549280,552946,556629,562451,564287,567958,570964,575711,579285,583854,590790,600730,618877,625063,630140,634096,637041,638770,642278,649519,658591,660855,662546,664839,667870,672300,681319,696840,712125,716972,716972,722232,727271,737799,745032,749408,763619,788799,795956,804274,817478,834894,854135, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,298,996,1190,2406,1890,1894,2712,3194,3379,3689,3459,3844,3886,4027,4095,4279,4279,4592,4898,5197,5267,5411,5425,5425,5480,5694,5858,6008,6197,6489,6825,7124,7143,7372,7566,7846,7950,8141,8203,8318,8479,8634,8800,8933,9166,9233,9430,9539,9955,10333,10444,10620,10847,11198,11349,12040,12186,12694,14587,15112,16154,18070,20243,23025,24539,26363,27822,29166,30594,31455,32407,32830,33179,33350,34074,35389,39361,42177,44058,45254,47374,52124,52483,55701,58120,59488,61055,62415,63086,63524,66012,66345,67300,68087,69168,70546,71871,72712,73158,74112,75075,76161,77395,78593,80655,81612,82780,85017,86394,87358,88743,89784,90842,91563,93387,95331,97177,98337,100442,101900,103991,107362,108399,109761,111355,112460,112773,115240,119179,121378,122847,124934,127559,129268,131641,133883,134564,136219,137881,139573,140061,141931,141931,143112,143112,144936,145669,146079,147658,149290,150254,151530,152898,154404,155192,156345,157434,159170,160648,162337,163132,166039,169668,171704,173313,175054,176003,176477,177433,179928,182397,183211,184146,185275,185793,187191,189927,194416,198781,201175,201175,205536,209162,213323,216227,218197,222264,227975,229609,231689,234147,238342,243118
Ballari, ,1333,161,2048,114,1474,0,387,1696,52,435,102,442,0,0,0,238,664,1429,0,896,1178,982,15638,16158,24946,16838,17169,17272,17448,17577,17835,17980,17980,18068,20046,20551,20706,20766,21434,21871,23321,24217,25394,25394,26132,27575,28539,29250,30742,35192,35192,43810,52519,68682,77588,86697,95175,97796,102238,108615,112131,114116,118740,124222,126868,131717,138246,141605,146974,160466,177949,185833,192447,201364,206351,228236,234070,251341,261237,265186,267219,268939,271507,274689,281326,299807,301491,307267,311033,314066,313219,316068,321152,327201,331723,334041,338167,343470,345197,346546,347233,350073,351787,354221,355516,355883,356227,357863,363372,364373,364831,365300,367568,371216,374976,377697,398777,404011,404484,407297,409983,413411,416844,420562,426185,428765,433589,438801,442564,448533,457960,466928,471200,475734,481916,488677,495339,503022,509040,511965,516317,523140,527147,530048,534961,543242,544296,576218,621104,631041,634441,659387,672919,675596,681303,687755,691583,695652,700747,708751,712641,717995,724872,730351,734086,740050,743868,745600,755077,755077,770092,770092,775922,780523,785203,796641,802417,808346,818183,824401,827252,832451,841402,846137,847919,852117,860745,868191,880201,898044,907802,914509,917188,926294,930729,934634,946734,955027,959043,960913,967020,971780,983348,999434,1003985,1005313,1005668,1005668,1016654,1022233,1031099,1042867,1052368,1066721,1081395,1085903,1096959,1110013,1128219,1144562, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,1098,2532,2636,3918,4610,4610,4942,6489,6993,7154,6993,7683,7764,7808,7892,8018,8018,8275,9433,9741,10249,10613,11084,11084,11707,11680,12049,12450,12667,12860,12934,12989,13186,13419,13555,13788,14118,14228,14362,14872,15177,15493,15924,16280,16672,16987,17442,17897,18775,18956,19725,20232,20810,20983,21491,22470,23377,26086,33366,34712,37817,39258,41268,39275,40704,44299,48385,51343,52780,55522,58607,59409,60452,61153,64284,66132,69503,75740,78637,80273,84572,90846,91685,96657,98731,99324,100241,100655,102043,103642,107134,107418,107638,107945,108373,108600,110405,112199,112510,113728,114801,115431,116798,118260,119756,120204,121055,122057,122954,123706,124349,124949,125386,126074,127658,129458,130590,131468,132928,133298,133890,134813,135222,135418,138195,139938,140401,142873,146820,148619,149599,150980,156151,158064,163048,167160,169607,170903,172139,174780,176558,181354,181354,184106,184106,187443,189439,190842,197097,204073,206169,212238,216995,219749,222376,227935,230771,231627,233962,237128,237543,244274,252022,256007,259511,262030,266046,267705,268971,272471,277447,278729,279692,281876,282858,288052,293027,297685,302823,307473,307473,319737,323746,330692,338471,344870,352487,359979,362717,367836,373603,380926,387425
Belagavi, ,30,438,5907,2096,3787,0,0,1826,0,1674,1052,915,432,140,270,573,1530,1903,0,1338,1859,1801,33014,33818,34091,33846,33908,34089,34155,35599,37218,37881,37881,37976,40360,41121,41969,41573,42759,43518,44079,45808,46730,46973,49259,50226,52847,52847,55361,56891,56891,61258,66119,72619,79462,87195,93752,99312,107847,121372,132027,143086,156942,163886,168089,172503,182680,196271,196303,204769,213144,215856,216781,219647,238178,263626,282105,314581,327748,336372,346861,347448,351559,352546,356262,379418,386296,403907,417801,431398,461782,474018,483726,493565,502867,507860,514738,525324,527507,528620,529458,530411,531225,534936,536363,536618,536922,538759,543593,544213,544561,544936,545884,547009,548995,551072,567036,571306,572156,575034,577308,583271,589032,594943,600558,603697,608231,613175,616451,619696,626279,635113,637292,641335,651360,656543,659934,671052,683469,696329,708751,727931,734593,738377,745262,767024,773068,809519,871958,894759,930773,956433,961006,961841,996612,1025858,1033280,1038453,1047938,1061505,1075299,1083486,1098209,1106037,1112415,1129180,1138591,1139862,1165347,1165347,1188121,1188121,1202038,1213174,1228117,1232678,1236586,1252555,1272699,1279848,1282979,1286500,1301884,1317748,1323254,1334594,1366736,1384273,1404474,1447856,1455039,1461256,1468537,1491946,1513666,1525132,1551478,1566665,1573038,1574774,1594480,1609339,1633116,1661528,1672955,1700641,1737602,1737602,1798976,1830457,1874867,1920817,1978011,2033012,2100505,2125480,2160254,2224735,2305136,2369089, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,2739,5239,9045,9979,10036,11380,13881,15048,16653,15373,16949,17152,17423,18000,19184,19317,20272,20575,21451,21451,22100,22587,22587,23069,24055,24623,25502,25866,26289,26839,27051,27816,28239,28691,29254,29501,29632,29689,29873,30376,31565,31842,32054,32324,32414,32655,33216,33819,34494,35328,35836,36078,36496,36593,37176,37333,38216,41980,43672,47778,51211,54724,61066,64294,67949,71366,75592,77780,81134,85163,85787,86894,87675,89506,90479,101718,107865,109431,112678,118647,127976,129510,132374,133553,133825,134129,134527,134841,135212,135516,135607,135746,135888,136153,136347,136616,136898,137063,137237,137482,137572,137780,138142,138582,138693,138899,139526,139867,140282,141050,141961,142837,143747,146320,147688,148853,149648,153224,154808,157467,160518,162017,165236,167145,167419,167483,171521,174584,175256,176437,178124,193110,200704,208037,216207,219154,220403,225773,228152,228396,240839,240839,243706,243706,256074,264741,271987,275129,277308,287025,296320,299837,301394,305815,314330,319501,320967,325336,333418,335177,352652,368100,370377,377577,385837,397621,402095,407151,414184,422411,426175,429837,438980,442102,448216,454052,457622,462653,466758,466758,473439,477430,482006,488223,495352,503268,512278,515692,520338,528507,540058,550021
Bengaluru Rural, ,69,916,549,285,998,0,0,501,43,443,83,414,69,0,0,111,575,43,0,196,145,144,6526,6931,6903,6931,7344,7948,8475,8725,9224,9646,9646,9988,10516,10766,10879,10835,11383,11906,12456,13182,14179,14179,15330,16180,17452,17487,18992,19534,19611,21709,23043,25876,27996,30114,32502,33144,35289,37386,39265,41234,43451,45298,46447,48861,51065,52952,55429,57334,59009,60536,61378,63020,65091,70114,71969,75817,79649,82265,83644,83911,85237,87362,90208,96245,97385,99822,101930,103850,106536,108410,112708,117669,120201,122831,126545,129615,130767,132683,134137,137463,138577,140167,140633,140702,141194,142068,143118,143302,143555,143694,144313,144996,145362,146774,153232,158813,159741,160964,161836,164532,167785,171694,176123,178363,181820,185598,188762,193998,199980,206288,208179,211277,215884,219116,223282,228293,232121,234769,237139,240673,242916,246245,248079,251824,253152,263280,279908,285391,291542,298539,302272,303721,307604,311120,314061,316005,322412,329416,331519,337120,342303,346512,349098,353101,354781,355972,360662,360662,365733,365733,369251,372132,374964,377180,378935,381911,385213,386355,387288,389223,392376,393937,394936,397521,400092,401401,409016,414842,416947,419592,419566,424749,426869,429428,431986,435407,436609,439829,442347,444714,448213,451733,453891,455265,456079,456079,464201,467829,471977,476919,482244,496721,508124,511185,517104,523896,535165,542814, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,317,449,652,1336,1696,1696,2266,2761,3052,3352,3052,3375,3413,3449,3531,3639,3639,3933,4038,4239,4239,4477,4503,4509,4813,5124,5463,5793,5993,6297,6391,6611,6969,7221,7391,7592,7695,7741,7825,7912,8033,8197,8325,8392,8463,8551,8590,8724,8977,9209,9416,9613,9881,10055,10220,10716,11442,12156,14030,14593,15578,16539,17704,18475,19234,20882,23036,24100,25122,26300,27289,27754,28694,29283,30885,31310,32773,34471,34904,37143,38894,40313,41666,42918,43209,43429,43518,44784,45349,45503,45840,45866,45907,45929,45957,46978,47688,48269,48493,48776,48949,49105,49315,49510,49716,49824,50069,50404,50621,50789,51061,51240,51330,51549,51900,52280,52673,52950,53601,53850,54623,55359,55598,56222,56959,57416,57541,58140,58470,58763,58966,60413,62344,62859,64599,65909,66719,67117,68908,69543,69937,72063,72063,73804,73804,75956,77677,78928,80616,82138,84503,86900,88007,88803,90387,92338,93511,93886,95723,97242,98279,102521,104899,106459,107578,108618,110547,111213,112386,113356,115176,116053,117219,118275,119112,120473,121805,122786,123601,123920,123920,128248,130284,132928,135682,138824,145440,151085,153526,156864,160067,165386,168908
Bengaluru Urban, ,5296,4288,3443,3942,7771,3669,845,6092,0,8514,5464,4009,861,0,0,2080,3432,2072,433,5377,3276,2052,105531,108421,111221,110132,111234,111967,113404,115121,117985,119956,120049,121406,127060,130544,132740,130789,136011,141910,149187,162735,171903,171903,181875,205757,225299,246179,274713,297310,312978,337361,362366,388455,409843,417811,445894,469123,480124,508036,518869,547496,566321,584148,603264,632772,634754,656858,678124,688398,698565,729945,745623,746047,760068,793965,817683,841499,871507,874617,874617,882712,916011,927139,952174,977209,982374,991727,994132,1009820,1448301,1479146,1513293,1540759,1564427,1580922,1609385,1630308,1637315,1645342,1653237,1673246,1681910,1704948,1722437,1728125,1733742,1745356,1769713,1779121,1788498,1796234,1817381,1841890,1865737,1888562,1902668,1971564,1989454,2045729,2090899,2181347,2271501,2373151,2477131,2522362,2615246,2712048,2785673,2910992,3035138,3158230,3206641,3287288,3400679,3488400,3572023,3677334,3758786,3818406,3875529,3958837,4019817,4084707,4147151,4260136,4296678,4413961,4565262,4639486,4716718,4830571,4928900,4984039,5054427,5119536,5176444,5213846,5279333,5363613,5412787,5472907,5546213,5615559,5665454,5731026,5796078,5832396,5910748,5910748,5990293,5990293,6067502,6115621,6172746,6228028,6301335,6338172,6388726,6428637,6473506,6502832,6544268,6573496,6595137,6625300,6685829,6759750,6814195,6851571,6892724,6927693,6959877,7019014,7065922,7095616,7120204,7157303,7172440,7210457,7253987,7289337,7321814,7356217,7378748,7399545,7412675,7412675,7486228,7526464,7562552,7603045,7637281,7698327,7772778,7831448,7889795,7957808,8068944,8135561, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,2296,3589,4867,8052,10777,11282,13026,21309,25410,28448,25410,30494,31495,32651,33776,34486,34486,36269,40872,43097,47925,51747,53424,54630,56977,59243,61068,63325,64044,66642,69128,69917,72139,73144,75085,76198,78022,79436,81236,81478,82699,86695,86770,88121,99728,100439,100491,108613,113822,122171,131808,136803,137441,137441,138952,148656,152993,156447,159901,169045,171931,173347,187506,282852,296733,322466,349967,372967,386931,411957,426566,431013,437418,444125,463559,471724,496101,524329,536271,547350,569547,596816,610142,623435,625487,626523,627458,628673,632201,633343,640718,641368,643854,645238,648575,652781,658502,665631,668867,675979,682587,686710,693089,697998,702204,703838,707369,712583,717003,721834,727498,732853,735986,739709,745798,752520,758733,766294,780876,786350,794644,803955,811511,824241,844767,872007,887189,911369,930872,954782,972936,1001758,1050755,1078075,1109737,1137498,1164493,1188377,1225080,1269002,1291868,1332147,1332147,1362599,1362599,1410907,1439701,1462138,1486905,1528833,1548942,1576881,1602479,1625274,1644123,1667691,1688465,1702355,1722522,1753217,1775280,1797901,1812186,1834713,1856952,1884063,1915520,1931633,1943428,1959034,1985719,1998205,2023121,2052750,2069875,2094108,2122148,2146965,2173186,2191394,2191394,2291037,2344366,2397891,2459736,2517046,2607840,2717608,2773997,2822672,2876644,2951332,3006408
Bidar, ,464,198,718,177,699,0,0,1433,0,985,78,57,43,0,0,521,69,69,0,788,245,242,7829,8146,8670,8284,8374,8890,8578,9278,9329,9384,9384,9699,10611,10841,10974,10923,11443,11751,12105,12418,12890,12890,13658,14076,14666,14666,15724,17114,17114,18499,24834,27875,34699,36252,43223,48537,49798,55244,57315,59307,60057,61150,64420,66406,68063,69750,71657,79358,84123,89623,91460,93160,96910,106438,107854,115013,118843,121792,124027,124606,125262,125651,127815,133626,136784,138770,140411,141860,153606,155100,159661,161420,164104,166741,169770,173049,174413,176841,179534,182092,182984,185419,186089,186604,186977,188902,192620,192896,193086,193377,194740,197068,199584,201558,215164,217819,218296,219582,220423,223663,227764,232889,238131,241600,251322,257750,261401,271323,277272,284069,287563,294861,301633,304271,307075,310565,312251,315311,318955,323006,325401,328228,330597,334316,334986,356244,368658,377060,380086,388209,393161,395292,401105,410429,416682,420296,427678,433455,435258,439718,444225,448046,450839,454128,457893,459959,467421,467421,478255,478255,483044,485584,487442,492578,498123,501804,507369,510686,513787,517163,521166,524320,526714,529257,534891,542260,549013,554390,558624,562232,563647,569526,571812,575834,582710,589930,592004,593599,604580,608404,612600,623612,631948,635279,636534,636534,648155,652793,657543,663074,667703,679166,693106,709449,710366,728341,742549,754531, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,195,266,921,1341,1596,1596,2112,3435,3520,3773,3520,3823,3839,3863,3903,3968,3968,4267,4414,4759,4759,4995,5184,5184,5217,5656,5816,6053,6098,6291,6460,6469,6621,6810,6838,6901,6958,7045,7107,7180,7759,7736,7963,8144,8327,8412,8652,8959,9147,10429,9590,9847,10334,10342,10429,10557,10588,10995,15169,17912,19374,21041,23185,25416,26591,29617,30778,32409,34273,36414,38444,39356,41657,43916,46259,46962,49886,53859,56064,57290,61097,63707,64786,66712,67008,67332,67760,68016,68885,69175,69886,69962,70176,70353,70530,71375,71897,72332,72495,72799,73162,73312,73642,73874,74102,74222,74480,74995,75805,76339,76803,77090,77371,77646,78182,78712,79100,79410,80024,80188,81578,82114,82603,82816,83918,84513,84814,85568,86813,87432,87912,89193,90428,90956,92359,93664,94631,95383,96413,97642,98256,100756,100756,102280,102280,103687,104779,105607,107692,109949,111552,113776,115434,116865,118556,120919,122956,124252,125684,128150,129220,131516,132998,134386,135836,136320,138140,139019,140133,142074,144514,145417,146482,150625,151665,153611,157859,160743,162761,164879,164879,173232,177251,181114,185187,188910,197449,206948,197976,214841,206458,213170,217653
Chamarajanagara, ,198,158,349,34,368,0,0,406,0,543,28,342,0,0,0,236,516,654,0,283,253,172,5070,5139,5033,5139,5182,5184,5245,5297,5342,5490,5490,5746,6234,6407,6483,6413,6607,6713,6804,7143,7301,7301,7559,7629,8018,8038,8109,8607,8625,9009,10223,11927,15582,20940,26396,31237,34782,39914,45116,49184,54180,55790,58823,60577,64726,66151,68428,70963,73767,75317,76910,79438,83176,86402,89029,93124,96503,97688,98472,99062,102134,106053,111773,116251,117981,121842,123648,126190,126188,128339,130940,133148,135033,136513,138293,139946,140445,141075,141529,142186,142552,143512,143661,143683,143754,144555,145685,145769,145841,145992,146078,146317,146556,146964,151776,153171,153590,155236,156287,157939,159224,160757,163189,164524,166692,168645,170299,173909,178073,181787,183516,187289,191643,194604,196904,199562,201829,203517,206108,208749,210892,213120,214502,218511,219066,227071,245007,251226,256359,262165,265288,267741,269209,273763,274936,275338,275864,277378,278266,280634,283387,285389,287913,290579,291769,292257,294720,294720,298587,298587,299629,301129,302760,303155,305076,307220,309244,310041,310495,312158,314142,315283,316549,317785,321402,327867,335630,347505,352859,356842,358623,363779,367891,372384,381034,388221,390946,394625,399355,401728,407911,415735,420338,424225,426178,426178,436996,442668,449115,455012,459840,469978,484542,498376,510931,527799,544188,558408, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,348,660,662,907,1116,1116,1167,1231,1293,1441,1293,1523,1527,1530,1561,1583,1583,1910,2059,2257,2257,2291,2402,2408,2466,2741,2950,3115,3211,3355,3436,3436,3611,3714,3743,3838,3858,3908,3982,4022,4061,4145,4170,4250,4274,4343,4513,4539,4717,4823,5026,5112,5140,5331,5306,5552,5858,6346,7169,7427,8180,8839,9261,11326,12018,13043,14030,15080,15757,16767,17793,18062,18684,19155,19874,20392,22430,23393,23624,24143,25131,26945,27315,28267,28731,29255,29695,30197,30435,30489,31187,31237,31446,31689,32087,32300,32701,33148,33270,33547,34011,34362,34922,35230,35634,35812,36052,36669,37030,37357,37783,38081,38480,38854,39600,40479,41351,41628,42395,42576,43970,45723,46049,46787,47679,48136,48466,48822,48926,49174,49503,50116,50878,51306,52807,54232,55186,56130,57784,58823,59172,60755,60755,62161,62161,63399,64943,65971,67496,69841,72464,75227,76571,77563,79981,82372,83960,85176,86409,88848,90007,93478,96798,98414,99977,100703,102402,103147,104229,105890,107075,107528,108084,109374,109747,111218,112756,113718,114827,115131,115131,118312,120325,122374,124611,126063,129537,134077,137897,140825,144320,148202,151472
Chikkaballapura, ,2167,0,711,299,1184,0,0,760,0,247,0,203,0,0,0,82,425,95,0,816,653,239,9150,9382,9374,9433,9550,9559,9637,9647,9825,10001,10001,10063,10351,10428,10485,10515,10694,10854,11109,11204,11523,11523,12404,12675,13759,13770,15090,15090,15303,18063,22646,30491,36877,39894,47357,49672,53083,54983,58349,60278,62586,65032,65542,67667,69305,71028,73994,77706,81649,83020,85284,90680,94762,97918,105157,111632,118952,123555,126041,126817,130422,135587,142405,155128,162123,167463,171354,176223,178307,183292,190031,194690,197517,199707,202682,205480,206680,208458,209539,211119,211675,213733,214068,214133,214790,216032,218238,218421,218562,218591,218664,218952,219373,219777,228433,229557,229941,231286,232121,235040,237553,240142,243027,244261,246026,248769,250094,252723,256269,259741,260922,262122,264615,266865,268922,273110,275992,278110,280945,284996,286542,288840,290581,294906,295295,313074,339271,350253,358352,367065,372079,373371,377824,382849,386918,389700,394170,397594,398981,402663,405765,409268,411647,414879,416857,417851,421146,421146,425205,425205,427331,428923,430958,432607,434537,436833,440328,441716,443456,446635,450177,452196,453040,455221,458937,462795,470249,478404,481766,484854,485780,491159,494812,497278,500899,504074,505445,508272,511867,512925,517344,523331,525877,527518,527946,527946,532728,537648,542886,547432,551496,562520,574979,577216,588133,600474,617910,641385, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,232,298,310,2849,3973,3973,4163,4718,4883,5143,4950,5266,5284,5312,5318,5400,5400,5612,5660,5735,5735,5864,5864,5884,5946,6111,6251,6347,6399,6520,6568,6596,6616,6822,6893,6957,7016,7029,7102,7152,7215,7326,7396,7498,7542,7632,7792,7880,7946,8058,8138,8316,8352,8402,8453,8798,9482,10474,11946,12834,13792,14577,15299,17617,18753,20706,22144,23306,24239,25540,26804,27269,28610,29382,30586,31065,33984,36949,38033,39961,42187,45241,46355,47491,47844,48272,48766,48071,49396,49482,50018,50074,50380,50549,50858,51160,51324,51661,51810,52018,52430,52693,53132,53360,53877,54003,54277,55117,55695,56423,57067,57519,57860,58126,58943,59726,60357,61041,62338,62631,63621,65125,65828,66582,67381,68271,68752,70189,71259,72459,73406,74840,76125,76635,78308,79865,81016,81812,83946,85220,85916,87514,87514,89578,89578,91708,93643,95659,97697,99946,102451,105737,107231,108458,110944,113848,115668,116243,117806,120569,122419,127644,133485,135741,137534,138483,141987,144434,145525,148028,150031,151028,152728,155290,156302,158973,163817,165938,167701,168744,168744,172979,176068,179422,182856,186151,192726,200081,201237,205579,211615,218265,226014
